시군,총인구수,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,도시지역면적,주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율
수원시,1194465,22696236.0,62.6,0.7598480412848408,0.0529949210931223,0.2340109747960948,0.1050503124957448,0.1066245495395293,0.1301997597544156,0.0413511589624949,0.005607254385361,0.89,121182030,354566,0.0869895467596476,0.0029258958609622,0.1917139792030355,0.2173957465398579,0.2608912783456848,0.2265602567648266,0.1034387391465951
성남시,942724,86074070.0,62.0,0.7679015737815024,0.0635618445757201,0.2495458777915159,0.0908244416968142,0.085411062514743,0.1596314947747482,0.0327668405892447,0.0021914887316018,0.852,141820898,251281,0.0616495103854035,0.001771819270246,0.1723510800252934,0.1986878717252136,0.2531279126398209,0.2417027015674472,0.1341304340422247
의정부시,451868,9062650.0,59.4,0.7588796803315081,0.0496152138523013,0.2337205860589019,0.1146958709486458,0.0588941809898529,0.1630648167322427,0.0509422240629529,0.0058177342189604,0.847,81598380,142635,0.0349942013674811,0.0017480126443686,0.1771328561111647,0.1872975471596028,0.2444183590175465,0.2484291894358725,0.1427220482758134
안양시,567044,20391808.0,62.1,0.7336917722648582,0.0867169373549884,0.263631090487239,0.0910672853828306,0.1354257210201956,0.1557779500552071,0.0437506362518696,0.0025389778351522,0.98,58480054,171744,0.0421358300533297,0.0029367961937928,0.1739360693938076,0.2008098174101452,0.2412783891360337,0.258013624555418,0.1259620995045954
부천시,829996,31543254.0,63.0,0.660900799496797,0.1738202042606723,0.2211113502060814,0.0938870772846903,0.2331541671095992,0.1427328053577123,0.0366781386201764,0.0027369762723553,0.807,53450000,255150,0.0625987343843574,0.0047736202057998,0.1659897294614551,0.204109228291586,0.2429807857873573,0.263625682423604,0.1232945740359975
광명시,316552,6372380.0,61.8,0.7104265402843601,0.0924697209057398,0.2589784096893102,0.122432859399684,0.1620442274979661,0.1875495261339503,0.0589453442792692,0.0048601651447118,0.84,38506473,99721,0.024465641354272,0.0025897204347954,0.1861007199029045,0.1824263886810647,0.2592648012369694,0.2424194057891499,0.1297886843899114
평택시,513027,10543560.0,63.8,0.72296792405834,0.1056375058810505,0.2294024852627791,0.0946779951844574,0.3821536629686729,0.1116151361534052,0.0599350444514543,0.0404718275402223,1.102,151090527,171851,0.042162081531202,0.001137404200066,0.1985958924929092,0.1933656025105392,0.2654324999109069,0.2243448511516071,0.1182611539340375
동두천시,94768,2106819.0,56.2,0.7247259439707674,0.0770401948842874,0.2172655298416565,0.1079476248477466,0.2020945372204925,0.1266628927257288,0.0478347013869232,0.0175306069288877,0.8540000000000001,33565811,33510,0.00822137405142,0.0009983372664524,0.1711490050006265,0.1611591429450159,0.2265887525772021,0.2527537618608254,0.18834933761633
안산시,650918,27036345.0,63.4,0.63591238720868,0.1738416400642149,0.213920617053863,0.1163987968925876,0.3914304905125287,0.1142228109782264,0.041535284935102,0.0062128254757632,0.887,151472339,193891,0.0475693952910736,0.0012800422920781,0.1764922451643813,0.2154987387439529,0.2468106861908138,0.2616772695776038,0.0995210603232481
고양시,1066351,28739326.0,59.7,0.7349794238683127,0.08458595047289,0.2666666666666666,0.1045989459244819,0.0981333958138081,0.1978167880229736,0.0580467642323312,0.0132510822953873,0.802,194127720,313254,0.0768540228917793,0.0016136489935594,0.1826349848331648,0.1844064711830131,0.25362891809909,0.2513852376137512,0.1279443882709807
