시군명,기준년월,월별카드발행수량(건),월별카드충전액(천원),월별카드사용액(천원),월별모바일상품권이용등록자수(명),월별모바일충전액(천원),월별모바일사용액(천원),월별지류상품권판매액(천원),월별지류상품권회수액(천원)
가평군,2021-03,1084,912711,805968,,,,143740,138405
가평군,2021-02,1809,912711,805968,,,,143740,138405
가평군,2021-01,598,992759,1011708,,,,120450,145020
가평군,2020-12,579,1177615,1121896,,,,190105,158030
가평군,2020-11,524,1014259,991877,,,,141540,602190
가평군,2020-10,550,921618,952087,,,,473815,469705
가평군,2020-09,862,1052610,964030,,,,356960,138150
가평군,2020-08,312,597319,661956,,,,92435,102910
가평군,2020-07,533,676234,732454,,,,115400,113895
가평군,2020-06,398,616944,518214,,,,110545,107060
가평군,2020-05,3425,713833,642870,,,,109725,101875
가평군,2020-04,6835,639698,477477,,,,116330,105960
가평군,2020-03,655,389311,297771,,,,125240,118550
가평군,2020-02,211,180458,230384,,,,70190,95570
가평군,2020-01,338,288742,247582,,,,161750,121040
가평군,2019-12,289,247214,201657,,,,101395,84750
가평군,2019-11,179,139483,188567,,,,110105,76155
가평군,2019-10,325,257462,212087,,,,18465,87160
가평군,2019-09,428,233151,172358,,,,159965,116495
가평군,2019-08,272,100956,138322,,,,65975,61785
가평군,2019-07,389,207542,113448,,,,54695,81375
가평군,2019-06,238,84932,75007,,,,63805,59540
가평군,2019-05,506,109979,59447,,,,73435,96675
가평군,2019-04,87,8870,2187,,,,64575,93815
가평군,2019-03,1,,,,,,120915,129565
가평군,2019-02,,,,,,,95445,129565
가평군,2019-01,,,,,,,153685,114460
고양시,2021-03,18749,17652128,13760292,,,,,
고양시,2021-02,24208,17652128,13760292,,,,,
고양시,2021-01,15728,15152425,15299152,,,,,
고양시,2020-12,7511,8159264,13731511,,,,,
고양시,2020-11,10341,21892388,21763372,,,,,
고양시,2020-10,10941,18871423,22812605,,,,,
고양시,2020-09,20944,25220665,21980525,,,,,
고양시,2020-08,7545,22718749,16103409,,,,,
고양시,2020-07,16520,10801299,14345199,,,,,
고양시,2020-06,7044,7521775,13476552,,,,,
고양시,2020-05,60602,24391234,14063170,,,,,
고양시,2020-04,113877,10835285,8742604,,,,,
고양시,2020-03,10166,8183828,6663098,,,,,
고양시,2020-02,5041,6134958,5866688,,,,,
고양시,2020-01,6758,9669657,6403636,,,,,
고양시,2019-12,6994,9138695,5652073,,,,,
고양시,2019-11,3448,2397604,4583013,,,,,
고양시,2019-10,5024,4542746,4017911,,,,,
고양시,2019-09,5421,6220822,4437004,,,,,
고양시,2019-08,8535,6035427,4859241,,,,,
고양시,2019-07,11964,6565309,2688638,,,,,
고양시,2019-06,4368,1094818,1478659,,,,,
고양시,2019-05,13077,3133495,1021417,,,,,
고양시,2019-04,76,9255,1370,,,,,
고양시,2019-03,,,,,,,,
고양시,2019-02,,,,,,,,
고양시,2019-01,,,,,,,,
과천시,2021-03,1997,2315752,1923395,,,,689980,724710
과천시,2021-02,1975,2315752,1923395,,,,689980,724710
과천시,2021-01,1556,2509252,2307308,,,,755495,663065
과천시,2020-12,781,1651913,2075858,,,,373425,644840
과천시,2020-11,981,2409712,2287637,,,,643190,721820
과천시,2020-10,994,2224257,2286972,,,,519200,738235
과천시,2020-09,1884,2231788,2373914,,,,636865,827140
과천시,2020-08,852,1696814,1973027,,,,562995,842030
과천시,2020-07,1263,2173031,1917034,,,,1505010,1158180
과천시,2020-06,701,1676340,1353920,,,,1218025,989030
과천시,2020-05,2143,1390776,1051715,,,,1161130,1013015
과천시,2020-04,8257,1617007,940438,,,,2082135,1339945
과천시,2020-03,1004,1147878,720665,,,,1017245,604245
과천시,2020-02,366,381205,594092,,,,203015,332350
과천시,2020-01,935,1107789,702411,,,,836970,539720
과천시,2019-12,436,492514,548608,,,,251725,353055
과천시,2019-11,297,304364,535891,,,,225365,371615
과천시,2019-10,961,786699,616182,,,,171305,418190
과천시,2019-09,1171,866317,468413,,,,1209655,640725
과천시,2019-08,444,242187,349798,,,,220585,313650
과천시,2019-07,580,361577,346299,,,,205390,356830
과천시,2019-06,600,163510,291385,,,,171720,494290
과천시,2019-05,2356,738301,164238,,,,1189245,383995
과천시,2019-04,99,25376,1162,,,,297220,28865
과천시,2019-03,,,,,,,,
과천시,2019-02,,,,,,,,
과천시,2019-01,,,,,,,,
광명시,2021-03,5094,6043489,5358256,,,,,
광명시,2021-02,8338,6043489,5358256,,,,,
광명시,2021-01,5291,6346190,6811978,,,,,
광명시,2020-12,3307,8118857,6991235,,,,,
광명시,2020-11,3119,7880494,7245906,,,,,
광명시,2020-10,3603,6729996,7218227,,,,,
광명시,2020-09,6892,7013531,6851110,,,,,
광명시,2020-08,2240,4151462,5334111,,,,,
광명시,2020-07,6761,7448631,5553208,,,,,
광명시,2020-06,3506,5191954,3993955,,,,,
광명시,2020-05,22779,4820262,3501908,,,,,
광명시,2020-04,21799,3323583,2231284,,,,,
광명시,2020-03,6608,1816691,1364922,,,,,
광명시,2020-02,2064,1712842,1132528,,,,,
광명시,2020-01,1842,1460775,1201056,,,,,
광명시,2019-12,1328,1307969,931750,,,,,
광명시,2019-11,651,524585,889573,,,,,
광명시,2019-10,1742,1349211,862165,,,,,
광명시,2019-09,1038,497664,701032,,,,,
광명시,2019-08,1256,628310,960015,,,,,
광명시,2019-07,2997,1693869,884905,,,,,
광명시,2019-06,1246,354583,544691,,,,,
광명시,2019-05,3830,1010098,531315,,,,,
광명시,2019-04,1477,502905,66934,,,,,
광명시,2019-03,9,,,,,,,
광명시,2019-02,,,,,,,,
광명시,2019-01,,,,,,,,
광주시,2021-03,6676,9002159,7854216,,,,,
광주시,2021-02,9412,9002159,7854216,,,,,
광주시,2021-01,5028,9606261,10282394,,,,,
광주시,2020-12,3635,11846680,10765924,,,,,
광주시,2020-11,3203,10205139,9821290,,,,,
광주시,2020-10,3368,9149383,9420328,,,,,
광주시,2020-09,5885,10053666,9593202,,,,,
광주시,2020-08,2537,6723209,7705561,,,,,
광주시,2020-07,5980,8568562,7997727,,,,,
광주시,2020-06,10557,6643099,5646692,,,,,
광주시,2020-05,51184,5864519,4777641,,,,,
광주시,2020-04,30144,4030085,3044231,,,,,
광주시,2020-03,4528,3417305,2522458,,,,,
광주시,2020-02,1812,1412908,1904151,,,,,
광주시,2020-01,2095,2554825,2128133,,,,,
광주시,2019-12,2265,2185166,1840286,,,,,
광주시,2019-11,1998,1568215,1640547,,,,,
광주시,2019-10,2772,1897470,1232005,,,,,
광주시,2019-09,1279,720675,611891,,,,,
광주시,2019-08,1157,378842,656843,,,,,
광주시,2019-07,1977,1067973,619798,,,,,
광주시,2019-06,1336,388335,455882,,,,,
광주시,2019-05,4128,1140948,486051,,,,,
광주시,2019-04,740,79277,13738,,,,,
광주시,2019-03,,,,,,,,
광주시,2019-02,,,,,,,,
광주시,2019-01,,,,,,,,
구리시,2021-03,3352,4062873,3846032,,,,,
구리시,2021-02,5096,4062873,3846032,,,,,
구리시,2021-01,2715,4255590,4877310,,,,,
구리시,2020-12,2099,5865095,4754559,,,,,
구리시,2020-11,1650,4824203,4743637,,,,,
구리시,2020-10,1806,4340830,4873221,,,,,
구리시,2020-09,3060,4636510,4728126,,,,,
구리시,2020-08,2256,3169232,3885413,,,,,
구리시,2020-07,5879,4307178,3925072,,,,,
구리시,2020-06,10273,4262372,2391153,,,,,
구리시,2020-05,23609,2985817,2494217,,,,,
구리시,2020-04,30323,2039056,1362573,,,,,
구리시,2020-03,3604,1573624,967174,,,,,
구리시,2020-02,884,779041,701499,,,,,
구리시,2020-01,1289,958042,831592,,,,,
구리시,2019-12,1182,1206967,745319,,,,,
구리시,2019-11,505,263086,611937,,,,,
구리시,2019-10,1462,1106018,679158,,,,,
구리시,2019-09,1084,591082,429976,,,,,
구리시,2019-08,610,195288,516560,,,,,
구리시,2019-07,1527,801086,523667,,,,,
구리시,2019-06,1359,509439,387779,,,,,
구리시,2019-05,2625,693291,116924,,,,,
구리시,2019-04,,,,,,,,
구리시,2019-03,,,,,,,,
구리시,2019-02,,,,,,,,
구리시,2019-01,,,,,,,,
군포시,2021-03,4756,8468384,7689732,,,,,
군포시,2021-02,8321,8468384,7689732,,,,,
군포시,2021-01,4452,8951603,9831917,,,,,
군포시,2020-12,3564,11206381,9576097,,,,,
군포시,2020-11,3067,9813402,9495058,,,,,
군포시,2020-10,3214,8822107,9194072,,,,,
군포시,2020-09,5625,9592961,8789646,,,,,
군포시,2020-08,2047,5704424,6600190,,,,,
군포시,2020-07,4917,5737778,7091100,,,,,
군포시,2020-06,2381,7907352,5552418,,,,,
군포시,2020-05,16685,6310698,4959716,,,,,
군포시,2020-04,42637,5374339,4204775,,,,,
군포시,2020-03,6334,4263997,3047797,,,,,
군포시,2020-02,1687,1510611,2493120,,,,,
군포시,2020-01,3076,4112492,3165515,,,,,
군포시,2019-12,2003,3962529,2832124,,,,,
군포시,2019-11,843,1442764,2201774,,,,,
군포시,2019-10,1785,1987328,2435273,,,,,
군포시,2019-09,2810,3840776,2233807,,,,,
군포시,2019-08,1434,1112362,1874745,,,,,
군포시,2019-07,2219,1980499,2154009,,,,,
군포시,2019-06,3427,2379979,1688951,,,,,
군포시,2019-05,6147,2341957,1061666,,,,,
군포시,2019-04,1866,736934,160255,,,,,
군포시,2019-03,,,,,,,,
군포시,2019-02,,,,,,,,
군포시,2019-01,,,,,,,,
김포시,2021-03,,,,4157,20056607,19327543,,
김포시,2021-02,,,,10706,20056607,19327543,,
김포시,2021-01,,,,5317,20578035,21310792,,
김포시,2020-12,,,,8987,21015280,19166574,,
김포시,2020-11,,,,7891,20973906,19410629,,
김포시,2020-10,,,,7145,19244371,18972140,,
김포시,2020-09,,,,10300,18320149,17678832,,
김포시,2020-08,,,,3954,14442032,12214012,,
김포시,2020-07,,,,16115,15069070,13500610,,
김포시,2020-06,,,,4012,12405087,15433950,,
김포시,2020-05,,,,8633,12637710,11631447,,
김포시,2020-04,,,,28105,12543177,11536031,,
김포시,2020-03,,,,26752,11610670,8803922,,
김포시,2020-02,,,,6256,9100861,7098964,,
김포시,2020-01,,,,8342,11450843,5740248,,
김포시,2019-12,,,,3978,4551826,4776626,,
김포시,2019-11,,,,2999,3436593,4460335,,
김포시,2019-10,,,,4387,3819558,5453928,,
김포시,2019-09,,,,9419,8132894,4742487,,
김포시,2019-08,,,,5346,2619344,3544684,,
김포시,2019-07,,,,7707,2877004,3081677,,
김포시,2019-06,,,,14337,4105444,1721558,,
김포시,2019-05,,,,10319,1753350,811547,,
김포시,2019-04,,,,5447,698220,382635,,
김포시,2019-03,,,,509,7705,5791,,
김포시,2019-02,,,,,,,,
김포시,2019-01,,,,,,,,
남양주시,2021-03,9903,11003701,8977763,,,,,
남양주시,2021-02,17003,11003701,8977763,,,,,
남양주시,2021-01,10347,9384739,11482739,,,,,
남양주시,2020-12,6795,14678545,12146070,,,,,
남양주시,2020-11,5787,12737052,12087602,,,,,
남양주시,2020-10,5674,11228473,12100844,,,,,
남양주시,2020-09,10994,10885317,11080752,,,,,
남양주시,2020-08,4061,7655048,9086630,,,,,
남양주시,2020-07,11473,12018669,9986295,,,,,
남양주시,2020-06,5399,8817257,7722837,,,,,
남양주시,2020-05,31334,9153440,7633818,,,,,
남양주시,2020-04,75201,6028294,3984384,,,,,
남양주시,2020-03,4853,3607498,2855760,,,,,
남양주시,2020-02,3432,3016233,2536472,,,,,
남양주시,2020-01,3842,2468440,2822584,,,,,
남양주시,2019-12,4123,3936730,2669880,,,,,
남양주시,2019-11,2146,1571787,2183736,,,,,
남양주시,2019-10,4396,3434683,1922439,,,,,
남양주시,2019-09,2297,1644304,1233830,,,,,
남양주시,2019-08,1643,645594,1403210,,,,,
남양주시,2019-07,3630,2021227,1383395,,,,,
남양주시,2019-06,1911,601904,1196121,,,,,
남양주시,2019-05,8926,3084237,978176,,,,,
남양주시,2019-04,714,188922,8609,,,,,
남양주시,2019-03,,,,,,,,
남양주시,2019-02,,,,,,,,
남양주시,2019-01,,,,,,,,
동두천시,2021-03,1650,1015736,1480880,,,,,
동두천시,2021-02,4916,1015736,1480880,,,,,
동두천시,2021-01,1442,2146587,1370105,,,,,
동두천시,2020-12,2279,1600360,1345105,,,,,
동두천시,2020-11,5296,1055921,922641,,,,,
동두천시,2020-10,849,959612,999513,,,,,
동두천시,2020-09,999,1045748,946626,,,,,
동두천시,2020-08,454,677602,769322,,,,,
동두천시,2020-07,1351,951445,972710,,,,,
동두천시,2020-06,698,752878,739008,,,,,
동두천시,2020-05,4833,844959,779316,,,,,
동두천시,2020-04,11736,631372,398864,,,,,
동두천시,2020-03,1510,378383,380922,,,,,
동두천시,2020-02,415,336796,356096,,,,,
동두천시,2020-01,580,495930,388233,,,,,
동두천시,2019-12,428,461713,341334,,,,,
동두천시,2019-11,261,224000,305841,,,,,
동두천시,2019-10,588,438698,286950,,,,,
동두천시,2019-09,421,250040,194088,,,,,
동두천시,2019-08,262,102446,205038,,,,,
동두천시,2019-07,590,344792,251182,,,,,
동두천시,2019-06,337,113310,210580,,,,,
동두천시,2019-05,1260,383375,244807,,,,,
동두천시,2019-04,1245,264234,66999,,,,,
동두천시,2019-03,,,,,,,,
동두천시,2019-02,,,,,,,,
동두천시,2019-01,,,,,,,,
부천시,2021-03,13354,15601117,12756248,,,,,
부천시,2021-02,24263,15601117,12756248,,,,,
부천시,2021-01,13605,17389108,15270885,,,,,
부천시,2020-12,8194,12533199,14362438,,,,,
부천시,2020-11,8430,16560102,16996525,,,,,
